Name,Category,homepage,지역1,전화번호,팩스1,이메일,핸드폰1,우편번호,주소2
강경지역아동센터,공공기관,,,,,,,,
강동구청,공공기관,,,,,,,,
강북구청꿈자람캠프,공공기관,,,,,,,,
경기도협회,공공기관,,,,,,,,
경주시사회복지협의,공공기관,,,,,,,,
고성군가족센터,공공기관,,,,,,,,
고흥군가족센터,공공기관,,,,,,,,
광산구지역아동센터,공공기관,,,,,,,,
광진구9호점 우리동네키움센터,공공기관,,,,,,,,
광진행복한지역아동센터,공공기관,,,,,,,,
구로구청,공공기관,,,,,,,,
구로지역아동센터,공공기관,,,,,,,,
구미성은지역아등센터,공공기관,,,,,,,,
구세군아산지역아동센터,공공기관,,,,,,,,
구세군지역아동센터,공공기관,,,,,,,,
군산열린학교지역아동센터,공공기관,,,,,,,,
권릉지역아동센터,공공기관,,,,,,,,
금천구청,공공기관,,,,,,,,
기쁜누리지역아동센터,공공기관,,,,,,,,
꿈나눔지역아동센터,공공기관,,,,,,,,
꿈이있는지역아동센터,공공기관,,,,,,,,
논산시청소년상담복지센터,공공기관,,,,,,,,
논현지역아동센터,공공기관,,,,,,,,
누리빛지역아동센터,공공기관,,,,,,,,
늘사랑지역아동센터,공공기관,,,,,,,,
다니엘지역아동센터,공공기관,,,,,,,,
다산숲지역아동센터,공공기관,,,,,,,,
다솔지역아동센터,공공기관,,,,,,,,
다함께돌봄센터역곡밝은도서관,공공기관,,,,,,,,
달팽이지역아동센터,공공기관,,,,,,,,
더봄 안양행복지역아동센터,공공기관,,,,,,,,
덕면지역아동센터,공공기관,,,,,,,,
도계지역아동센터,공공기관,,,,,,,,
도봉구가족센터,공공기관,,,,,,,,
동구청소년문화의집,공공기관,,,,,,,,
동산지역아동센터,공공기관,,,,,,,,
동탄어울림사회복지관,공공기관,,,,,,,,
둔산지역아동센터,공공기관,,,,,,,,
디딤청소년활동센터,공공기관,,,,,,,,
마로니에지역아동센터,공공기관,,,,,,,,
마리아지역아동센터,공공기관,,,,,,,,
마송지역아동센터,공공기관,,,,,,,,
맑은샘지역아동센터,공공기관,,,,,,,,
멘토링 지역아동센터,공공기관,,,,,,,,
명성지역아동센터,공공기관,,,,,,,,
목행지역아동센터,공공기관,,,,,,,,
무력무럭지역아동센터,공공기관,,,,,,,,
민들레꽃피우기지역아동센터,공공기관,,,,,,,,
민들레지역아동센터,공공기관,,,,,,,,
민주평통 순창군협의회,공공기관,,,,,,,,
밀알지역아동센터,공공기관,,,,,,,,
바비두지역아동센터,공공기관,,,,,,,,
발산지역아동센터,공공기관,,,,,,,,
별내지역아동센터,공공기관,,,,,,,,
보물섬지역아동센터,공공기관,,,,,,,,
부림지역아동센터,공공기관,,,,,,,,
부산새로운가족지원협회,공공기관,,,,,,,,
부안군청소년방과후아카데미,공공기관,,,,,,,,
부여군다함께돌봄센터 2호점,공공기관,,,,,,,,
부여군청소년문화의집,공공기관,,,,,,,,
부천시다문화가족지원센터,공공기관,,,,,,,,
비젼스쿨지역아동센터,공공기관,,,,,,,,
사랑꿈지역아동센터,공공기관,,,,,,,,
사회복지법인 따뜻한동행,공공기관,,,,,,,,
사회적협동조합 사람과평화,공공기관,,,,,,,,
살구지역아동센터,공공기관,,,,,,,,
상월마을학교사회적협동조합,공공기관,,,,,,,,
새비젼지역아동센터,공공기관,,,,,,,,
서귀포가족센터,공공기관,,,,,,,,
서림지역아동센터,공공기관,,,,,,,,
서부지역아동센터,공공기관,,,,,,,,
서울지역아동센터,공공기관,,,,,,,,
성남다함께돌봄센터,공공기관,,,,,,,,
성남다함께돌봄센터18호점,공공기관,,,,,,,,
성북구 학교밖청소년지원센터 꿈,공공기관,,,,,,,,
성심지역아동센터,공공기관,,,,,,,,
성터지역아동센터,공공기관,,,,,,,,
세종지역아동센터,공공기관,,,,,,,,
솔로몬지역아동센터,공공기관,,,,,,,,
순창군가족센터,공공기관,,,,,,,,
시립도담양지동지역아동센터,공공기관,,,,,,,,
시립동대문청소년센터,공공기관,,,,,,,,
시립목동청소년센터,공공기관,,,,,,,,
시립성동청소년센터,공공기관,,,,,,,,
시립청소년미래진로센터,공공기관,,,,,,,,
시습지역아동센터,공공기관,,,,,,,,
신나는지역아동센터,공공기관,,,,,,,,
신월청소년문화센터,공공기관,,,,,,,,
신천사랑지역아동센터,공공기관,,,,,,,,
신한다문화센터,공공기관,,,,,,,,
아를다운지역아동센터,공공기관,,,,,,,,
아이원지역아동센터,공공기관,,,,,,,,
안산시립지역아동센터,공공기관,,,,,,,,
안산시청소년상담복지센터,공공기관,,,,,,,,
안성사랑지역아동센터,공공기관,,,,,,,,
안성시건강가정다문화가족지원센터,공공기관,,,,,,,,
양산시청소년회관,공공기관,,,,,,,,
열매지역아동센터,공공기관,,,,,,,,
온주푸른교실지역동센터,공공기관,,,,,,,,
용산교육목지센터,공공기관,,,,,,,,
우리들지역아동센터,공공기관,,,,,,,,
우리지역아동센터,공공기관,,,,,,,,
울릉군청,공공기관,,,,,,,,
울산나무아래사회서비스센터,공공기관,,,,,,,,
웃음꽃지역아동센터,공공기관,,,,,,,,
원내지역아동센터,공공기관,,,,,,,,
음봉산동종합사회복지관,공공기관,,,,,,,,
음성군청소년상담복지센터,공공기관,,,,,,,,
이레지역아동센터,공공기관,,,,,,,,
이주민 시민연대 사회적협동조합,공공기관,,,,,,,,
장위희망지역아동센터,공공기관,,,,,,,,
전북교육청,공공기관,,,,,,,,
전북특별자치도청소년상담복지센터,공공기관,,,,,,,,
제주노회아동부,공공기관,,,,,,,,
좋은지역아동센터,공공기관,,,,,,,,
중랑구마루아라지역아동센터,공공기관,,,,,,,,
중랑생명강지역아동센터,공공기관,,,,,,,,
지엘에스지역아동센터,공공기관,,,,,,,,
지좌행복한홍스쿨지역아동센터,공공기관,,,,,,,,
진례지역아동센터,공공기관,,,,,,,,
천국의아이들지역아동센터,공공기관,,,,,,,,
청예단지역아동센터,공공기관,,,,,,,,
청주시흥덕정신건강복지센터,공공기관,,,,,,,,
충헌지역아동센터,공공기관,,,,,,,,
철곡지역아동센터,공공기관,,,,,,,,
큰사랑행복한홈스쿨 지역아동센터,공공기관,,,,,,,,
태전지역아동센터,공공기관,,,,,,,,
통일부한반도동일미래센터,공공기관,,,,,,,,
평강행복한홈스쿨지역아동센터,공공기관,,,,,,,,
평화사회복지관,공공기관,,,,,,,,
평화지역아동센터,공공기관,,,,,,,,
푸른꿈지역아동센터,공공기관,,,,,,,,
하늘사랑교실지역아동센터,공공기관,,,,,,,,
한국미래진로센터,공공기관,,,,,,,,
한빛종합사회복지관,공공기관,,,,,,,,
한사랑지역아동센터,공공기관,,,,,,,,
함께걷기큰사랑지역아동센터,공공기관,,,,,,,,
해나라지역아동센터,공공기관,,,,,,,,
해밀지역아동센터,공공기관,,,,,,,,
행복한지역아동센터,공공기관,,,,,,,,
헤브론지역아동센터,공공기관,,,,,,,,
현경지역아동센터,공공기관,,,,,,,,
홍제지역아동센터,공공기관,,,,,,,,
홍천군청소년문화의집,공공기관,,,,,,,,
화곡청소년센터,공공기관,,,,,,,,
화도평화지역아동센터,공공기관,,,,,,,,
함양군지역아동센터연합회,공공기관,,,,,,,,
해님지역아동센터,공공기관,,,,,,,,
해달별지역아동센터,공공기관,,,,,,,,
해오름지역아동센터,공공기관,,,,,,,,
해인지역아동센터,공공기관,,,,,,,,
햇사레지역아동센터,공공기관,,,,,,,,
행복지역아동센터,공공기관,,,,,,,,
호야다함께돌봄센터,공공기관,,,,,,,,
횡계지역아동센터,공공기관,,,,,,,,
횡성군가족센터,공공기관,,,,,,,,
효성중앙지역아동센터,공공기관,,,,,,,,
효성지역아동센터,공공기관,,,,,,,,
희망아카데미지역아동센터,공공기관,,,,,,,,
경주인문학연구소,공공기관,,,,,,,,
구립길리청소년지역아동센터,공공기관,,,,,,,,
구산노회,공공기관,,,,,,,,
꿈속작은도서관,공공기관,,,,,,,,
둥지지역아동센터,공공기관,,,,,,,,
시립서출청소년센터,공공기관,,,,,,,,
아이스크림홈런지국센터,공공기관,,,,,,,,
제주고신주일학교연합회,공공기관,,,,,,,,
한국아동청소년그룹홍협의회,공공기관,,,,,,,,
스마일지역아동센터,공공기관,,,,,,,,
시립중랑청소년센터,공공기관,,,,,,,,
신륵지역아동센터,공공기관,,,,,,,,
씨앗지역아동센터,공공기관,,,,,,,,
아름드리지역아동센터,공공기관,,,,,,,,
아이를세상지역아동센터,공공기관,,,,,,,,
아주대 의료원부설 수원시 아동재활센터,공공기관,,,,,,,,
안양석수지역아동센터,공공기관,,,,,,,,
에벤에셀지역아동센터,공공기관,,,,,,,,
엔젤지역아동센터,공공기관,,,,,,,,
여주지역아동센터,공공기관,,,,,,,,
연수지역아동센터,공공기관,,,,,,,,
영광지역아동센터,공공기관,,,,,,,,
영락홈스쿨지역아동센터,공공기관,,,,,,,,
오전동평생학습관,공공기관,,,,,,,,
오정동지역아동센터,공공기관,,,,,,,,
옥천군 청소년삼담복지센터,공공기관,,,,,,,,
용인지역아동센터,공공기관,,,,,,,,
우리꿈지역아동센터,공공기관,,,,,,,,
우리동네지역아동센터,공공기관,,,,,,,,
우리두리지역아동센터,공공기관,,,,,,,,
우리다함께다문화지역아동센터,공공기관,,,,,,,,
육서지역아동센터,공공기관,,,,,,,,
은행동푸른학교지역아동센터,공공기관,,,,,,,,
이레어린이지역아동센터,공공기관,,,,,,,,
익산다문화복지센터,공공기관,,,,,,,,
장군마을지역아동센터,공공기관,,,,,,,,
정심사어린이법회,공공기관,,,,,,,,
정토회관,공공기관,,,,,,,,
제일강동지역아동센터,공공기관,,,,,,,,
제자지역아동센터,공공기관,,,,,,,,
종촌다함께돌봄센터,공공기관,,,,,,,,
좋은나무지역아동센터,공공기관,,,,,,,,
좋은사람들지역아동센터,공공기관,,,,,,,,
주양지역아동센터,공공기관,,,,,,,,
주향지역아동센터,공공기관,,,,,,,,
중곡지역아동센터,공공기관,,,,,,,,
중부지역아동센터,공공기관,,,,,,,,
즐거운지역아동센터,공공기관,,,,,,,,
진건지역아동센터,공공기관,,,,,,,,
징검다리지역아동센터,공공기관,,,,,,,,
참사랑지역아동센터,공공기관,,,,,,,,
참좋은지역아동센터,공공기관,,,,,,,,
천안중앙파랑새지역아동센터,공공기관,,,,,,,,
천왕숲우리동네키움센터,공공기관,,,,,,,,
청운지역아동센터,공공기관,,,,,,,,
청평지역아동센터,공공기관,,,,,,,,
친구와함께지역아동센터,공공기관,,,,,,,,
클나무지역아동센터,공공기관,,,,,,,,
태일지역아동센터,공공기관,,,,,,,,
팔탄지역아동센터,공공기관,,,,,,,,
평택헌프리미군부대유스센터,공공기관,,,,,,,,
포도나무지역아동센터,공공기관,,,,,,,,
포도원비전하우스 지역아동센터,공공기관,,,,,,,,
푸른들지역아동센터,공공기관,,,,,,,,
푸른솔지역아동센터,공공기관,,,,,,,,
푸른하늘지역아동센터,공공기관,,,,,,,,
하늘둥지지역아동센터,공공기관,,,,,,,,
하늘샘지역아동센터,공공기관,,,,,,,,
하얼구수련회,공공기관,,,,,,,,
하은지역아동센터,공공기관,,,,,,,,
한국스카우트강원연맹,공공기관,,,,,,,,
한국지역아동센터,공공기관,,,,,,,,
한빛지역아동센터,공공기관,,,,,,,,
한울지역아동센터,공공기관,,,,,,,,
할렐루야야탑지역아동센터,공공기관,,,,,,,,
함께꿈꾸는지역아동센터,공공기관,,,,,,,,
광생지역아동센터,공공기관,,,,,,,,
아가페지역아동센터,공공기관,,,,,,,,
JG지역아동센터,공공기관,,,,,,,,
LH행복꿈터물푸레지역아동센터,공공기관,,,,,,,,
강북다함께돌봄센터,공공기관,,,,,,,,
그루터기지역아동센터,공공기관,,,,,,,,
대구함지지역아동센터,공공기관,,,,,,,,
신호등지역아동센터,공공기관,,,,,,,,
양문지역아동센터,공공기관,,,,,,,,
안양시가족센터,공공기관,,,,,,,,
1318해피존디딤돌지역아동센터,공공기관,,,,,,,,
1318해피존하늘세상지역아동센터,공공기관,,,,,,,,
365드림센터,공공기관,,,,,,,,
가남지역아동센터,공공기관,,,,,,,,
간석지역아동센터,공공기관,,,,,,,,
강동꿈나무지역아동센터,공공기관,,,,,,,,
경기도청,공공기관,,,,,,,,
경기지역아동센터,공공기관,,,,,,,,
경암지역아동센터,공공기관,,,,,,,,
광성지역아동센터,공공기관,,,,,,,,
구로융합형우리동네키움센터,공공기관,,,,,,,,
구리우리지역아동센터,공공기관,,,,,,,,
구립고덕2동청소년지역아동센터,공공기관,,,,,,,,
구립월계지역아동센터,공공기관,,,,,,,,
구립함께하는지역아동센터,공공기관,,,,,,,,
굿하우스지역아동센터,공공기관,,,,,,,,
그린리버지역아등센터,공공기관,,,,,,,,
금사지역아동센터,공공기관,,,,,,,,
금천영재지역아동센터,공공기관,,,,,,,,
꿈끼지역아동센터,공공기관,,,,,,,,
나드림지역아동센터,공공기관,,,,,,,,
나래지역아동센터,공공기관,,,,,,,,
내수지역아동센터,공공기관,,,,,,,,
놀이세상지역아동센터,공공기관,,,,,,,,
단양지역아동센터연합회,공공기관,,,,,,,,
대동지역아동센터,공공기관,,,,,,,,
대신지역아동센터,공공기관,,,,,,,,
도담분당동지억아동센터,공공기관,,,,,,,,
도토리지역아동센터,공공기관,,,,,,,,
도평지역아동센터,공공기관,,,,,,,,
동원지역아동학습센터,공공기관,,,,,,,,
동탄행복한지역아동센터,공공기관,,,,,,,,
두란노지역아동센터,공공기관,,,,,,,,
드림지역아동센터,공공기관,,,,,,,,
라온지역아동센터,공공기관,,,,,,,,
레고러닝센터,공공기관,,,,,,,,
마음터지역아동센터,공공기관,,,,,,,,
명일2동우리동네키움센터,공공기관,,,,,,,,
무지개지역아동센터,공공기관,,,,,,,,
문경산북햇살나무지역아동센터,공공기관,,,,,,,,
물금지역아동센터,공공기관,,,,,,,,
발음지역아동센터,공공기관,,,,,,,,
밝은지역아동센터,공공기관,,,,,,,,
밤골아이네공부방지역아동센터,공공기관,,,,,,,,
백암지역아동센터,공공기관,,,,,,,,
별하지역아동센터,공공기관,,,,,,,,
부평홈런학습센터,공공기관,,,,,,,,
비전지역아동센터,공공기관,,,,,,,,
빛과소금지역아동센터,공공기관,,,,,,,,
빛된지역아동센터,공공기관,,,,,,,,
사랑지역아동센터,공공기관,,,,,,,,
사마리안지역아동센터,공공기관,,,,,,,,
산곡지역아등센터,공공기관,,,,,,,,
산북지역아동센터,공공기관,,,,,,,,
산서지역아동센터,공공기관,,,,,,,,
새하늘지역아동센터,공공기관,,,,,,,,
샘솟는지역아동센터,공공기관,,,,,,,,
샘지역아동센터,공공기관,,,,,,,,
샘터지역아동센터,공공기관,,,,,,,,
샛별지역아동센터,공공기관,,,,,,,,
생명나무지역아동센터,공공기관,,,,,,,,
생명샘지역아동센터,공공기관,,,,,,,,
서울중심지역아동센터,공공기관,,,,,,,,
서천지역아동센터,공공기관,,,,,,,,
선학지역아동센터,공공기관,,,,,,,,
선한다문화가정지원센터,공공기관,,,,,,,,
설악지역아동센터,공공기관,,,,,,,,
성모의집지역아동센터,공공기관,,,,,,,,
성산지역아동센터,공공기관,,,,,,,,
송탄지역아동센터,공공기관,,,,,,,,
송화지역아동센터,공공기관,,,,,,,,
C&C미술학원,교육시설,,,,,,,,
ciee하이스쿨,교육시설,,,,,,,,
JP장현영어수학학원,교육시설,,,,,,,,
경남중앙학원,교육시설,,,,,,,,
곡성영재교육원,교육시설,,,,,,,,
그레이스국제학교,교육시설,,,,,,,,
그레이스학원,교육시설,,,,,,,,
미래엔영어,교육시설,,,,,,,,
정도학원,교육시설,,,,,,,,
조셉학원,교육시설,,,,,,,,
천안서여자중학교,교육시설,,,,,,,,
합천영재교육원,교육시설,,,,,,,,
화순영재교육원,교육시설,,,,,,,,
문수진영어수학,교육시설,,,,,,,,
은천조등학교,교육시설,,,,,,,,
한국외국어학원,교육시설,,,,,,,,
방원중두드림학교,교육시설,,,,,,,,
부평고등학교,교육시설,,,,,,,,
포천시 청소년 방과후 아카데미,교육시설,,,,,,,,
EAP 영어수학 학원,교육시설,,,,,,,,
GnB 탑수학원,교육시설,,,,,,,,
공주정철어학원,교육시설,,,,,,,,
광성드림학교,교육시설,,,,,,,,
국제언어대학원대학교,교육시설,,,,,,,,
궁동청소년문화의집,교육시설,,,,,,,,
그릿공부방,교육시설,,,,,,,,
나주영재교육원,교육시설,,,,,,,,
대안학교하나로스쿨,교육시설,,,,,,,,
대영학원,교육시설,,,,,,,,
대치K학원,교육시설,,,,,,,,
덕풍청소년문화의집,교육시설,,,,,,,,
동남파머스학원,교육시설,,,,,,,,
동일학원,교육시설,,,,,,,,
두정필학원,교육시설,,,,,,,,
링구어학원,교육시설,,,,,,,,
마음더하기학교,교육시설,,,,,,,,
면일어린이집방과후교실,교육시설,,,,,,,,
명성학원,교육시설,,,,,,,,
목감청소년문화의집,교육시설,,,,,,,,
무안영재원,교육시설,,,,,,,,
박부휘영어학원,교육시설,,,,,,,,
백마씨엔씨미술학원,교육시설,,,,,,,,
보령시청소년문화의집,교육시설,,,,,,,,
사거리성가공공부방,교육시설,,,,,,,,
사우청소년문화의집,교육시설,,,,,,,,
사거리성가공부방,교육시설,,,,,,,,
삼성어린이공부방,교육시설,,,,,,,,
삼섬영어검암이룸학원,교육시설,,,,,,,,
삼성영어학원,교육시설,,,,,,,,
서림학원,교육시설,,,,,,,,
성남은행동푸른학교복지관,교육시설,,,,,,,,
소리엘음악학원,교육시설,,,,,,,,
송도하이어아카데미,교육시설,,,,,,,,
송악청소년문화의집,교육시설,,,,,,,,
송탄푸르넷공부방,교육시설,,,,,,,,
수원대학교,교육시설,,,,,,,,
수원푸르넷공부방,교육시설,,,,,,,,
수학의달인증평,교육시설,,,,,,,,
신비과학학원,교육시설,,,,,,,,
신성실학원,교육시설,,,,,,,,
신우학원,교육시설,,,,,,,,
싱크빅 공부방,교육시설,,,,,,,,
아르꼬망세학원,교육시설,,,,,,,,
아카시아우드교육원,교육시설,,,,,,,,
안양석수청소년문화의집,교육시설,,,,,,,,
앰솔루션수학학원,교육시설,,,,,,,,
연수청소년문화의집,교육시설,,,,,,,,
예원입시학원,교육시설,,,,,,,,
옥과청소년문화의집,교육시설,,,,,,,,
용암리더스영수학원,교육시설,,,,,,,,
웰라잉글리쉬학원,교육시설,,,,,,,,
유정학원,교육시설,,,,,,,,
의정부나눔공부방,교육시설,,,,,,,,
이지스쿨학원,교육시설,,,,,,,,
인수초등학교,교육시설,,,,,,,,
인천영어마을,교육시설,,,,,,,,
장흥영재교육원,교육시설,,,,,,,,
전주종로엠스쿨,교육시설,,,,,,,,
정우학원,교육시설,,,,,,,,
조예련독서토론학원,교육시설,,,,,,,,
중앙대학교,교육시설,,,,,,,,
진학학원,교육시설,,,,,,,,
청미청소년문화의집,교육시설,,,,,,,,
청소년문화의집,교육시설,,,,,,,,
최강학원,교육시설,,,,,,,,
최정상학원,교육시설,,,,,,,,
칸타빌레음악학원,교육시설,,,,,,,,
큰나무실용예술학원,교육시설,,,,,,,,
팀어학원,교육시설,,,,,,,,
파로스학원,교육시설,,,,,,,,
퍼스트클래스학원,교육시설,,,,,,,,
평택시 안중청소년문화의집,교육시설,,,,,,,,
포인트학원,교육시설,,,,,,,,
폭스바디 무용학원,교육시설,,,,,,,,
푸르넷공부방,교육시설,,,,,,,,
푸르넷공부방(구리지역),교육시설,,,,,,,,
푸르넷아이스터디학원,교육시설,,,,,,,,
하모니음악학원,교육시설,,,,,,,,
하이든음악학원,교육시설,,,,,,,,
한국라보학원,교육시설,,,,,,,,
합덕청소년문화의집,교육시설,,,,,,,,
해법수학학원,교육시설,,,,,,,,
행복한피아노미술학원,교육시설,,,,,,,,
헤르메스학원,교육시설,,,,,,,,
화성아인스학원,교육시설,,,,,,,,
해법수학지사,교육시설,,,,,,,,
해법프렌즈학원,교육시설,,,,,,,,
해커스아카데미,교육시설,,,,,,,,
헤파학원,교육시설,,,,,,,,
혜성입시학원,교육시설,,,,,,,,
혜토학원,교육시설,,,,,,,,
효자이룸학원,교육시설,,,,,,,,
흥나는범쌤학원,교육시설,,,,,,,,
기쁜생각학원,교육시설,,,,,,,,
링구아어학원,교육시설,,,,,,,,
웅진공부방,교육시설,,,,,,,,
웅진프라임학원,교육시설,,,,,,,,
장원링구아어학원,교육시설,,,,,,,,
스마트해법수학학원,교육시설,,,,,,,,
스카이학원,교육시설,,,,,,,,
스텝학원,교육시설,,,,,,,,
시립도이방과주교실,교육시설,,,,,,,,
신창종로엠스쿨,교육시설,,,,,,,,
쌤과통하는수학학원,교육시설,,,,,,,,
쌤학원,교육시설,,,,,,,,
아르케수학교습소,교육시설,,,,,,,,
아이원학원,교육시설,,,,,,,,
알파카영어학원,교육시설,,,,,,,,
양평영어캠프,교육시설,,,,,,,,
양화푸르넷공부방,교육시설,,,,,,,,
에듀플러스학원,교육시설,,,,,,,,
에스피학원,교육시설,,,,,,,,
에이블원탑학원,교육시설,,,,,,,,
에이앤디미술학원,교육시설,,,,,,,,
에이치에듀방과후공부,교육시설,,,,,,,,
에이플러스학원,교육시설,,,,,,,,
엘리트학원,교육시설,,,,,,,,
엘벧엘기독교국제학교,교육시설,,,,,,,,
엠베스트SE운천학원,교육시설,,,,,,,,
예일학원,교육시설,,,,,,,,
오앤이학원,교육시설,,,,,,,,
옥정eie고려대학교,교육시설,,,,,,,,
우수학원,교육시설,,,,,,,,
웰라윙글리쉬학원,교육시설,,,,,,,,
위너스올인학원,교육시설,,,,,,,,
윤선생영어숲학원,교육시설,,,,,,,,
의정부샘공부방,교육시설,,,,,,,,
이룸플러스영수학원,교육시설,,,,,,,,
이룸학원,교육시설,,,,,,,,
이오브이학원,교육시설,,,,,,,,
이해로수학,교육시설,,,,,,,,
이해하는수학학원,교육시설,,,,,,,,
일오삼플러스학원,교육시설,,,,,,,,
임팩트영어학원,교육시설,,,,,,,,
잉글리쉬무무학원,교육시설,,,,,,,,
장안로드맵수학학원,교육시설,,,,,,,,
정상의거인학원,교육시설,,,,,,,,
정샘학원,교육시설,,,,,,,,
정석아카데미,교육시설,,,,,,,,
젤라학원,교육시설,,,,,,,,
종로엠스쿨,교육시설,,,,,,,,
주디영어학원,교육시설,,,,,,,,
중도수학학원,교육시설,,,,,,,,
증앙플러스학원,교육시설,,,,,,,,
지앤비어학원,교육시설,,,,,,,,
참나무방과후어린이집,교육시설,,,,,,,,
천년의미소미술학원,교육시설,,,,,,,,
청운학원,교육시설,,,,,,,,
청현영재학원,교육시설,,,,,,,,
초록빛공부방,교육시설,,,,,,,,
최강스터디학원,교육시설,,,,,,,,
충북제천공부방,교육시설,,,,,,,,
충북패밀리음악학원,교육시설,,,,,,,,
큐영수전문학원,교육시설,,,,,,,,
큰빛영수학원,교육시설,,,,,,,,
킹스프링학원,교육시설,,,,,,,,
태인학원,교육시설,,,,,,,,
파라수학전문학원,교육시설,,,,,,,,
파머스영어쎈수학,교육시설,,,,,,,,
평택해법수학학원,교육시설,,,,,,,,
폴앤에듀학원,교육시설,,,,,,,,
폴잉글리쉬어학원,교육시설,,,,,,,,
푸르넷공부방(시흥),교육시설,,,,,,,,
푸르넷공부방(오산),교육시설,,,,,,,,
푸르넷공부방(평택),교육시설,,,,,,,,
푸르넷아카데미학원,교육시설,,,,,,,,
푸른나무어린이집,교육시설,,,,,,,,
프리아이보슬학원,교육시설,,,,,,,,
플라잉업어학원,교육시설,,,,,,,,
플랜아이학원,교육시설,,,,,,,,
하이수학,교육시설,,,,,,,,
하이엔드영수학원,교육시설,,,,,,,,
하이클래스학원,교육시설,,,,,,,,
하이퍼스트학원,교육시설,,,,,,,,
학림원기숙학원,교육시설,,,,,,,,
한마음영수학원,교육시설,,,,,,,,
한솔영어학원,교육시설,,,,,,,,
한양대에리카국제교육학원,교육시설,,,,,,,,
한올에듀학원,교육시설,,,,,,,,
한울학원,교육시설,,,,,,,,
JT영어(충남태안),교육시설,,,,,,,,
미래엔영어수학 전남지사,교육시설,,,,,,,,
나주수학원,교육시설,,,,,,,,
학사모학원,교육시설,,,,,,,,
1318학원,교육시설,,,,,,,,
3030영어수학학원,교육시설,,,,,,,,
CMW학원,교육시설,,,,,,,,
GNB영어학원,교육시설,,,,,,,,
KYB영어학원,교육시설,,,,,,,,
SY지니어스학원,교육시설,,,,,,,,
가온 학원,교육시설,,,,,,,,
강남방과후교실,교육시설,,,,,,,,
강서푸르넷공부방,교육시설,,,,,,,,
겨자씨의꿈학원,교육시설,,,,,,,,
고래영어비전학원,교육시설,,,,,,,,
고려so1수학학원,교육시설,,,,,,,,
고양푸르넷공부방,교육시설,,,,,,,,
공감국제영어전문학원,교육시설,,,,,,,,
공감수학학원,교육시설,,,,,,,,
광교크리스천아트스쿨,교육시설,,,,,,,,
금광동푸른학교,교육시설,,,,,,,,
김보영폴리어수학학원,교육시설,,,,,,,,
꼬마곰미술학원,교육시설,,,,,,,,
꿈을키우는집,교육시설,,,,,,,,
나만의책논술학원,교육시설,,,,,,,,
남다른m수학학원,교육시설,,,,,,,,
남원호반공부,교육시설,,,,,,,,
남청주푸르넷공부방,교육시설,,,,,,,,
내동최상위학원,교육시설,,,,,,,,
네이슨학원,교육시설,,,,,,,,
능률영어오산시티자이교실,교육시설,,,,,,,,
대성제넥스학원,교육시설,,,,,,,,
대전도안공부방,교육시설,,,,,,,,
대전메이플영어학원,교육시설,,,,,,,,
대전영재숲학원,교육시설,,,,,,,,
대지학원,교육시설,,,,,,,,
더프라임학원,교육시설,,,,,,,,
더하기학원,교육시설,,,,,,,,
도담도담공부방,교육시설,,,,,,,,
도안트리니학원,교육시설,,,,,,,,
도전보습학원,교육시설,,,,,,,,
동수원푸르넷공부방,교육시설,,,,,,,,
동양학원,교육시설,,,,,,,,
두드림학원,교육시설,,,,,,,,
드림영수전문학원,교육시설,,,,,,,,
드림플러스학원,교육시설,,,,,,,,
또래수학학원,교육시설,,,,,,,,
런피플스트릿댄스학원,교육시설,,,,,,,,
레벨업수학학원,교육시설,,,,,,,,
로뎀미술학원,교육시설,,,,,,,,
리스쿨학원,교육시설,,,,,,,,
리얼잉글리쉬영어학원,교육시설,,,,,,,,
마스터수학,교육시설,,,,,,,,
메가플러스학원,교육시설,,,,,,,,
메타영수학원,교육시설,,,,,,,,
면일방과후학교,교육시설,,,,,,,,
명문쌍용학원,교육시설,,,,,,,,
명지학원,교육시설,,,,,,,,
목동푸르넷공부방,교육시설,,,,,,,,
몬스터학원,교육시설,,,,,,,,
뮤엠영어수학학원,교육시설,,,,,,,,
백쌤영어학원,교육시설,,,,,,,,
베스트학원,교육시설,,,,,,,,
벨라유직음악학원,교육시설,,,,,,,,
복선생학원,교육시설,,,,,,,,
부천뮤솔학원,교육시설,,,,,,,,
비상학원,교육시설,,,,,,,,
비전뮤직트리학원,교육시설,,,,,,,,
비전학원,교육시설,,,,,,,,
산본가우디미술학원,교육시설,,,,,,,,
삼광skda학원,교육시설,,,,,,,,
삼성영어E해법수학학원,교육시설,,,,,,,,
삼성영어정담학원,교육시설,,,,,,,,
삼성학원,교육시설,,,,,,,,
서강학원,교육시설,,,,,,,,
선문학원,교육시설,,,,,,,,
성남우리공부방,교육시설,,,,,,,,
성암방과후교실,교육시설,,,,,,,,
세화음악미술학원,교육시설,,,,,,,,
셀파우등생교실,교육시설,,,,,,,,
셀파우등생학원,교육시설,,,,,,,,
솔로몬공부방,교육시설,,,,,,,,
수학하는날 입시학원,교육시설,,,,,,,,
중앙플러스학원,교육시설,,,,,,,,
광주광역시자립지원전담기관,기타,,,,,,,,
김해답사진구,기타,,,,,,,,
대교눈높이,교육시설,,,,,,,,
더블유타임즈,기타,,,,,,,,
롤링코리아,기타,,,,,,,,
목포교육지원청,공공기관,,,,,,,,
부산교육여행,기타,,,,,,,,
안동시드림스타트,공공기관,,,,,,,,
